age,gender,education,income,marital_status,risk_preference,preference_1,preference_2,preference_3
37,male,master,medium,married,0.2,9,6,8
32,male,bachelor,medium,married,0.1,6,13,8
32,male,bachelor,medium,married,0.2,6,9,13
32,male,master,medium,married,0.2,6,10,14
35,male,bachelor,medium,married,0.1,6,9,13
32,male,master,medium,married,0.1,9,6,14
35,male,master,medium,married,0.2,6,9,13
34,female,bachelor,medium,married,-0.2,6,10,8
35,male,master,medium,married,0.2,10,8,6
34,female,master,medium,married,0.2,9,6,8
35,male,master,medium,married,0.1,10,6,13
37,male,master,medium,married,-0.2,6,9,8
35,male,master,medium,married,0.2,8,6,9
35,male,master,medium,married,-0.2,6,9,13
35,female,master,medium,married,0.1,13,6,9
37,male,master,medium,married,0.3,10,9,6
34,other,master,medium,married,0.1,10,6,13
32,male,bachelor,medium,married,0.1,9,13,8
35,male,master,medium,married,0.2,10,6,13
32,male,master,medium,married,0.1,9,6,13
32,male,master,medium,married,0.1,10,6,13
35,male,bachelor,medium,married,-0.2,6,10,14
35,male,master,medium,married,0.1,6,9,13
35,male,master,medium,married,0.2,9,6,13
32,female,bachelor,medium,married,0.1,10,6,13
32,male,master,medium,married,-0.2,6,10,13
35,male,master,medium,married,-0.2,10,13,8
35,male,bachelor,medium,married,0.2,9,6,13
35,male,master,medium,married,0.1,6,9,13
35,male,bachelor,medium,married,0.2,6,13,9
35,male,bachelor,medium,married,-0.3,6,8,9
32,male,master,medium,married,0.1,11,9,6
35,male,master,medium,married,-0.3,6,9,13
37,male,master,medium,married,0.2,9,6,12
35,male,master,medium,married,0.2,9,6,13
35,male,master,medium,married,0.1,10,13,8
32,female,master,medium,married,0.2,6,13,9
36,female,bachelor,medium,married,0.2,6,13,8
35,female,master,medium,married,0.1,6,13,9
35,male,master,medium,married,-0.3,10,6,13
32,male,master,medium,married,-0.2,8,13,9
37,male,master,medium,married,0.2,9,6,13
34,male,master,medium,married,-0.2,6,8,10
37,male,master,medium,married,0.2,9,6,8
35,male,master,medium,married,0.1,13,6,9
32,male,master,medium,married,0.4,9,6,13
32,male,master,medium,married,0.3,9,13,8
35,male,bachelor,medium,married,-0.4,10,6,8
32,female,master,medium,married,0.1,6,10,9
32,male,master,medium,married,-0.3,10,13,11
36,male,master,medium,married,0.2,6,8,9
35,male,master,medium,married,0.2,6,15,8
38,male,bachelor,medium,married,0.2,9,13,6
32,male,bachelor,medium,married,0.1,6,8,13
32,male,bachelor,medium,single,0.3,9,8,3
32,male,master,medium,married,0.2,10,6,8
37,male,master,medium,married,0.2,6,8,9
37,female,master,medium,married,0.2,6,13,8
35,male,master,medium,married,0.1,9,6,8
32,male,master,medium,married,0.1,6,9,13
35,male,master,medium,married,0.2,9,8,6
32,female,master,medium,married,0.2,9,6,13
35,male,master,medium,married,0.2,10,8,9
34,male,bachelor,medium,married,0.2,9,8,11
32,female,master,medium,married,0.1,6,9,13
32,Male,Bachelor,Medium,Married,0.1,8,10,6
35,male,master,medium,married,0.2,9,8,6
35,male,master,medium,married,0.2,6,9,8
34,male,master,medium,married,0.1,13,6,9
32,male,bachelor,medium,married,0.1,6,13,8
35,male,master,medium,married,0.2,9,8,6
34,male,master,medium,married,0.1,10,9,6
35,male,master,medium,married,0.2,9,6,10
37,male,master,medium,married,0.1,6,9,15
35,female,master,medium,married,0.1,6,10,13
32,female,master,medium,married,-0.2,6,8,13
35,male,master,medium,married,0.1,6,9,8
32,male,bachelor,medium,married,0.1,10,6,13
34,male,master,medium,married,0.1,6,9,8
35,male,master,medium,married,0.2,9,6,13
34,male,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.2,6,13,15
35,male,master,medium,married,0.1,6,9,13
38,male,bachelor,medium,married,0.2,14,10,6
36,male,master,medium,married,0.1,6,8,9
32,male,master,medium,married,-0.2,10,6,14
32,female,master,medium,married,-0.2,10,6,13
35,female,master,medium,married,0.2,9,8,6
34,male,master,medium,married,0.2,6,9,8
35,male,master,medium,married,-0.2,6,14,9
32,male,bachelor,medium,married,0.1,9,6,8
32,female,master,medium,married,0.1,6,8,9
32,male,master,medium,married,0.2,6,9,13
32,male,master,medium,married,0.2,10,6,9
35,female,master,medium,married,0.1,9,6,8
35,female,master,medium,married,-0.2,6,9,13
37,male,master,medium,married,0.2,9,14,6
35,male,bachelor,medium,married,0.2,8,10,6
34,male,master,medium,married,0.1,9,6,13
32,male,bachelor,medium,married,-0.2,10,6,13
35,male,bachelor,medium,married,0.1,6,11,8
34,male,master,medium,married,-0.4,10,6,13
32,male,bachelor,medium,married,-0.2,10,6,8
35,female,master,medium,married,0.2,6,8,9
35,male,master,medium,married,0.2,10,9,13
35,male,master,medium,married,0.2,6,13,8
35,female,master,medium,married,0.2,6,13,9
35,male,master,medium,married,0.1,6,9,13
32,female,master,medium,married,0.2,6,9,10
32,male,master,medium,married,0.2,9,13,8
34,female,master,medium,married,0.2,6,8,9
35,male,master,medium,married,0.2,6,9,13
32,female,master,medium,married,0.2,9,13,8
32,female,master,medium,married,0.2,9,6,13
35,female,master,medium,married,0.2,9,6,8
32,female,master,medium,married,-0.2,6,10,8
35,male,master,medium,married,0.1,6,8,9
35,female,master,medium,married,0.1,10,6,13
35,male,bachelor,medium,married,0.1,10,6,13
35,female,master,medium,married,0.1,6,13,9
34,male,master,medium,married,0.1,9,8,6
35,male,master,medium,married,0.2,9,6,13
32,male,master,medium,married,0.2,9,6,13
35,female,master,medium,married,0.2,6,8,9
32,male,bachelor,medium,married,0.2,6,10,13
32,female,master,medium,married,0.2,9,6,13
32,male,master,medium,married,0.2,10,6,9
32,female,bachelor,medium,married,0.1,6,13,15
35,male,master,medium,married,0.1,9,3,13
32,male,master,medium,married,0.2,10,6,13
35,female,master,medium,married,0.1,6,13,14
34,male,bachelor,medium,married,0.1,9,13,14
35,male,master,medium,married,0.1,9,6,13
35,male,master,medium,married,0.4,10,6,9
32,male,master,medium,married,-0.3,6,9,13
35,male,master,medium,married,0.1,6,9,13
37,female,master,medium,married,-0.3,6,13,8
35,male,master,medium,married,-0.2,10,6,13
34,male,bachelor,medium,married,0.2,10,13,6
35,male,master,medium,married,0.1,6,8,9
37,female,master,medium,married,-0.1,6,8,13
35,male,master,medium,married,0.2,9,6,13
32,male,master,medium,married,0.2,6,13,8
32,male,master,medium,married,0.1,6,13,8
35,male,master,medium,married,-0.4,6,10,13
35,female,master,medium,married,0.1,6,9,13
34,male,master,medium,married,0.1,9,6,10
34,male,master,medium,married,0.1,9,6,8
37,female,master,medium,married,0.1,6,9,13
32,female,master,medium,married,0.4,9,6,8
35,male,master,medium,married,-0.2,6,10,13
34,female,master,medium,married,0.2,9,8,13
34,female,master,medium,married,0.1,6,9,8
32,male,master,medium,married,0.2,9,8,10
32,Female,Master,Medium,Single,0.3,9,4,10
34,female,master,medium,married,-0.4,6,10,13
35,male,master,medium,married,0.2,11,7,9
32,male,master,medium,married,0.4,9,6,8
34,male,master,medium,married,0.3,10,9,6
35,male,master,medium,married,0.1,6,9,14
32,male,bachelor,medium,married,0.1,6,9,13
38,female,master,medium,married,0.2,6,9,13
35,male,master,medium,married,-0.2,6,9,8
35,male,bachelor,medium,married,-0.3,8,9,13
33,male,bachelor,medium,married,0.1,8,9,13
35,female,master,medium,married,0.4,9,13,6
32,male,master,medium,married,0.1,9,6,8
32,female,master,medium,married,0.1,9,6,13
35,male,master,medium,married,0.2,9,6,13
32,male,master,medium,married,0.2,6,9,13
37,male,bachelor,medium,married,-0.2,10,8,6
32,female,master,medium,married,-0.2,9,13,6
34,male,bachelor,medium,married,0.2,6,9,15
32,male,master,medium,single,0.3,9,6,4
34,female,master,medium,married,0.2,9,6,13
35,male,master,medium,married,0.2,8,6,9
35,male,master,medium,married,-0.3,6,9,13
32,male,master,medium,married,0.1,9,6,13
32,male,master,medium,married,0.2,9,3,13
32,female,master,medium,married,-0.3,6,10,13
32,male,master,medium,married,0.1,6,10,8
34,female,master,medium,married,0.2,6,13,14
32,male,master,medium,married,0.1,9,6,13
36,Male,Bachelor,Medium,Married,0.1,6,10,13
