age,gender,education,income,marital_status,risk_preference,preference_1,preference_2,preference_3
37,male,master,medium,married,0.1,10,6,13
35,female,master,medium,married,0.1,6,9,8
43,female,master,medium,married,0.1,10,6,15
37,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.3,2,10,6
35,male,master,medium,divorced,-0.2,9,13,6
32,female,master,medium,married,0.5,12,4,11
32,male,master,medium,married,0.3,9,11,3
32,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,-0.3,6,13,15
35,female,master,medium,married,0.1,9,8,6
36,female,master,medium,married,0.3,10,13,6
35,male,master,medium,single,0.3,9,13,7
35,male,master,medium,married,0.3,10,4,9
42,male,master,medium,married,0.1,9,13,6
35,female,master,medium,married,0.1,11,10,9
35,female,master,medium,married,0.1,6,9,15
35,female,master,medium,married,0.1,10,6,9
34,female,master,medium,married,0.1,9,6,3
33,female,master,medium,married,0.1,6,9,13
35,female,master,medium,married,-0.2,6,10,13
35,male,master,medium,married,0.1,12,6,9
35,female,master,medium,married,0.1,9,6,8
35,male,master,medium,married,0.4,9,3,11
36,female,master,medium,married,0.1,9,6,8
35,female,master,medium,married,0.1,9,6,13
35,female,master,medium,single,0.3,8,4,6
35,female,bachelor,medium,married,0.1,8,6,9
35,female,master,medium,married,0.1,9,10,3
35,female,master,medium,married,0.3,9,6,13
34,female,master,medium,married,0.0,6,13,8
32,female,master,medium,married,0.1,6,9,13
32,female,master,medium,married,0.1,6,9,13
34,female,master,medium,married,0.1,9,13,15
34,female,master,medium,married,0.1,6,9,8
37,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,9,8,6
35,male,master,medium,married,0.1,9,6,13
35,female,bachelor,medium,married,0.1,6,9,13
35,male,master,medium,married,0.1,9,10,8
35,female,master,medium,married,0.1,6,9,13
34,female,master,medium,married,0.1,12,13,9
32,male,master,medium,married,0.1,9,6,8
35,female,master,medium,married,-0.3,10,9,13
34,female,master,medium,married,0.1,9,6,13
37,female,master,medium,married,0.3,9,8,13
35,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,9,13,6
35,female,master,medium,married,0.1,9,13,8
32,female,master,medium,married,0.3,9,6,8
32,female,master,medium,married,0.1,13,6,8
35,female,master,medium,married,0.1,6,13,8
34,female,master,medium,married,0.1,10,6,13
32,female,master,medium,single,-0.1,11,5,9
47,female,master,medium,married,0.1,9,6,13
35,male,master,medium,married,0.3,9,12,6
37,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,6,9,8
32,female,master,medium,married,-0.2,10,6,15
34,female,master,medium,married,-0.2,13,6,8
42,female,master,medium,divorced,0.1,9,14,6
34,female,master,medium,married,0.1,11,9,3
38,female,master,medium,married,0.1,9,13,10
35,female,master,high,married,0.3,9,13,5
35,female,master,medium,married,0.1,12,6,13
32,female,master,medium,married,0.3,9,6,13
35,female,master,medium,married,0.1,9,6,12
34,female,master,medium,married,0.1,9,6,8
36,female,master,medium,married,-0.2,9,6,8
32,female,master,medium,married,0.5,5,9,12
35,female,master,medium,divorced,0.1,13,9,7
43,female,master,medium,divorced,-0.3,9,15,13
35,female,master,medium,married,0.1,9,13,8
32,male,master,medium,married,0.3,8,10,9
35,female,master,medium,divorced,-0.3,6,9,13
35,male,master,medium,married,0.3,9,6,8
36,female,master,medium,married,0.1,9,6,4
34,female,master,medium,married,-0.3,6,13,14
35,female,master,medium,married,0.1,10,3,12
32,female,master,medium,married,0.2,9,6,13
35,female,master,medium,married,0.1,9,15,6
38,female,master,medium,married,0.1,9,6,13
37,female,master,medium,married,0.1,10,6,13
35,female,bachelor,medium,married,0.1,9,13,16
32,male,master,medium,married,0.1,6,13,9
35,male,master,medium,married,0.1,10,13,16
35,female,master,medium,married,0.1,6,9,13
35,female,master,medium,married,0.3,9,13,6
35,female,master,medium,married,0.1,9,6,13
34,female,master,medium,married,0.2,9,6,13
35,female,master,medium,married,0.1,10,6,13
35,female,master,medium,single,0.3,9,4,11
35,female,master,medium,married,0.1,9,8,6
35,male,master,medium,married,0.4,12,6,9
35,female,master,medium,married,0.1,9,6,4
35,female,master,medium,married,0.3,9,6,13
35,other,master,medium,married,0.1,9,10,15
35,female,master,medium,married,0.1,6,9,13
35,male,master,medium,married,0.1,9,15,6
35,female,master,medium,divorced,0.3,3,13,9
32,male,bachelor,medium,married,-0.2,9,10,6
37,female,master,medium,married,0.1,5,13,9
37,female,master,medium,married,0.1,10,13,8
32,female,master,medium,married,0.1,13,8,9
37,female,master,medium,married,0.1,9,16,8
32,female,master,medium,married,0.1,10,6,9
35,female,master,medium,married,0.2,12,6,9
38,female,master,medium,married,0.4,9,6,13
36,female,master,medium,married,0.3,9,6,13
37,female,master,medium,married,-0.3,6,10,8
32,female,master,medium,married,-0.2,6,9,13
35,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,6,13,8
32,female,master,medium,married,-0.2,6,9,8
38,female,master,medium,married,0.1,9,13,6
37,female,master,medium,married,0.1,6,9,8
35,female,master,medium,married,0.1,6,13,9
32,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,6,13,4
37,female,master,medium,divorced,0.4,9,4,13
34,male,master,medium,married,-0.3,6,13,3
34,female,master,medium,divorced,0.1,9,6,4
36,female,master,medium,married,0.1,9,3,13
35,male,master,medium,married,0.3,4,13,9
32,female,master,medium,married,0.1,9,6,8
35,female,master,medium,married,0.1,9,13,6
35,female,master,medium,married,0.1,9,6,13
32,male,bachelor,medium,married,-0.3,9,8,6
35,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,-0.2,6,8,13
35,female,master,medium,married,0.3,9,4,11
32,female,master,medium,married,0.3,9,13,6
32,female,master,medium,married,0.1,4,13,9
37,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.0,6,13,8
34,male,master,medium,married,0.1,9,13,15
35,female,master,medium,married,-0.2,6,8,9
38,female,master,medium,widowed,0.1,9,11,15
34,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,9,8,13
38,other,master,medium,single,0.6,4,9,12
34,female,master,medium,married,-0.2,6,9,8
37,female,master,medium,married,0.3,9,8,6
37,female,master,medium,married,0.1,6,13,8
35,female,master,medium,married,0.1,8,6,13
35,male,master,medium,married,0.1,4,9,15
35,female,master,medium,married,0.1,4,6,13
37,female,master,medium,married,0.1,9,13,8
34,female,master,medium,married,0.1,9,8,6
35,female,master,medium,married,-0.3,6,8,9
35,female,master,medium,married,0.3,9,13,8
35,female,master,medium,married,0.4,9,13,6
35,female,master,medium,married,0.3,9,6,13
35,female,master,medium,married,0.1,9,6,13
35,female,master,medium,married,0.1,9,6,13
36,female,master,medium,married,0.1,9,6,13
35,male,master,medium,married,0.1,2,9,12
37,female,master,medium,married,0.1,8,10,13
34,female,master,medium,married,0.1,9,8,13
34,female,PhD,high,married,0.1,9,8,6
35,female,master,medium,married,0.1,9,6,8
34,female,master,medium,married,0.4,9,11,4
35,female,master,medium,married,0.1,6,8,9
35,female,master,medium,married,0.1,9,6,8
34,female,bachelor,medium,married,0.1,10,13,6
32,female,master,medium,married,0.1,9,4,13
35,female,master,medium,married,0.3,9,6,13
35,male,PhD,high,married,0.1,4,10,9
32,female,master,medium,married,0.3,6,11,8
34,female,master,medium,married,0.3,9,6,13
34,female,master,medium,married,0.1,9,13,8
35,female,master,medium,married,0.1,9,11,6
35,male,master,medium,married,0.1,10,6,9
34,female,master,medium,married,0.1,9,6,13
34,male,master,medium,married,0.1,9,4,11
37,female,master,medium,married,-0.2,8,13,6
32,female,master,medium,married,0.3,9,6,14
34,male,master,medium,married,0.1,9,10,6
