age,gender,education,income,marital_status,risk_preference,preference_1,preference_2,preference_3
49,female,bachelor,medium,divorced,-0.7,13,6,8
61,male,master,medium,single,0.18,6,8,13
41,female,bachelor,medium,married,-0.32,6,13,8
45,female,master,medium,married,0.39,6,9,13
64,male,bachelor,medium,single,-0.71,8,6,13
80,female,bachelor,medium,single,0.48,6,14,9
44,male,bachelor,low,married,-0.07,6,7,13
30,male,bachelor,high,married,-0.13,6,13,8
36,male,master,medium,married,0.31,6,13,8
60,male,bachelor,medium,single,-0.32,6,8,13
37,male,master,medium,married,0.07,6,13,8
29,male,master,low,married,-0.23,6,13,8
27,male,PhD,medium,single,-0.37,6,13,8
46,male,bachelor,low,divorced,-0.62,8,6,13
39,female,bachelor,medium,single,-0.27,6,8,13
30,female,bachelor,medium,widowed,0.07,6,13,8
41,male,master,medium,widowed,-0.27,6,8,3
50,male,bachelor,medium,single,0.47,6,8,13
26,male,master,medium,single,-0.07,6,10,13
42,female,bachelor,medium,married,-0.09,6,13,8
33,male,bachelor,medium,divorced,0.46,6,8,13
75,male,bachelor,high,married,-0.62,10,8,13
37,male,high school,medium,widowed,-0.37,6,13,8
40,female,high school,medium,married,0.18,6,13,8
22,male,bachelor,high,single,-0.11,6,9,7
53,female,high school,medium,single,-0.59,6,13,8
72,male,master,medium,married,0.04,6,13,8
22,male,master,medium,single,-0.22,6,13,14
24,male,bachelor,medium,single,0.47,6,9,13
32,male,bachelor,medium,widowed,-0.29,6,8,13
45,female,bachelor,medium,divorced,-0.35,6,13,8
51,female,high school,medium,single,-0.08,6,8,14
61,male,bachelor,low,married,-0.28,10,6,13
23,female,bachelor,medium,single,-0.42,6,13,8
46,male,bachelor,high,married,-0.35,6,8,13
51,male,bachelor,low,married,0.31,10,6,13
49,male,high school,high,married,0.74,6,13,8
20,male,master,high,married,-0.36,6,8,13
49,other,bachelor,high,single,-0.13,6,8,13
80,female,master,high,married,0.23,6,13,8
25,male,high school,low,single,0.68,11,9,16
45,male,bachelor,medium,married,0.04,10,6,13
41,male,master,low,married,0.31,6,10,8
31,male,bachelor,medium,married,-0.1,6,10,13
60,female,bachelor,low,single,-0.31,6,8,13
41,male,master,high,married,-0.25,6,10,13
24,male,master,medium,married,0.01,6,10,13
43,female,PhD,medium,married,-0.34,6,13,8
21,female,master,medium,single,-0.04,6,8,13
53,female,master,medium,divorced,0.08,6,13,8
30,male,master,low,divorced,0.37,6,9,15
62,male,bachelor,high,widowed,-0.27,6,13,8
25,female,bachelor,medium,single,-0.54,6,8,13
47,male,master,high,married,0.24,6,13,8
28,female,bachelor,high,married,0.52,6,13,8
35,female,master,high,married,-0.46,6,8,13
22,male,bachelor,medium,single,0.42,6,9,8
76,male,master,low,married,-1.0,6,8,13
40,male,high school,medium,married,-0.62,10,13,6
18,male,master,medium,married,-0.9,6,8,13
41,male,high school,high,married,0.31,6,10,13
34,male,high school,medium,married,0.15,10,8,6
56,male,bachelor,medium,divorced,-1.0,6,8,13
18,male,high school,medium,single,-0.09,7,11,9
39,male,high school,low,single,0.49,6,13,4
24,female,bachelor,medium,single,0.3,6,13,8
25,male,bachelor,high,single,-0.25,6,8,9
52,female,bachelor,medium,divorced,0.41,6,8,13
52,male,master,medium,married,0.19,10,6,13
27,male,PhD,high,single,-0.18,6,8,4
18,male,master,medium,married,-0.16,6,8,13
43,male,high school,medium,married,0.11,13,6,8
35,female,high school,medium,married,-1.0,6,13,10
32,female,bachelor,medium,married,-0.67,6,8,13
50,male,master,medium,single,0.73,6,8,13
55,male,bachelor,high,married,-1.0,6,13,14
36,male,high school,high,married,0.17,6,13,8
30,female,bachelor,high,married,-0.72,10,6,13
65,male,master,high,married,-1.0,6,13,8
62,male,high school,high,divorced,-0.43,6,13,8
57,female,high school,medium,married,1.0,6,10,13
62,female,bachelor,high,married,-0.34,6,13,8
26,female,bachelor,medium,divorced,-0.4,6,8,13
24,male,master,medium,single,0.19,6,8,9
41,male,high school,high,married,0.34,10,8,6
21,male,bachelor,medium,married,-0.42,6,10,3
33,male,PhD,medium,single,-0.51,6,8,15
43,male,master,medium,married,-0.21,6,13,8
40,female,master,high,married,0.59,6,13,4
58,female,bachelor,high,single,0.15,6,8,13
42,female,master,high,married,-0.14,6,8,13
47,female,high school,high,married,1.0,6,13,10
40,male,master,high,married,0.89,6,13,8
65,female,high school,high,married,0.27,6,10,13
32,male,master,high,widowed,-0.27,6,8,14
43,male,master,medium,married,-0.55,6,10,13
35,female,bachelor,high,divorced,1.0,6,8,14
37,other,bachelor,high,married,0.14,6,3,13
42,male,bachelor,medium,single,-0.15,6,10,8
31,female,bachelor,medium,married,0.15,6,13,8
45,male,bachelor,low,married,0.51,6,8,13
44,male,bachelor,medium,married,-0.38,6,13,8
18,female,bachelor,medium,single,0.08,9,6,8
36,female,bachelor,high,married,0.5,9,6,13
45,male,bachelor,medium,divorced,0.16,6,8,13
38,female,PhD,medium,married,-0.07,6,8,13
32,male,bachelor,medium,divorced,-1.0,6,10,9
20,female,master,medium,divorced,0.14,6,8,13
37,female,master,medium,married,-0.23,6,13,8
27,male,master,high,widowed,0.0,6,10,13
36,female,high school,low,married,0.07,10,13,6
59,female,bachelor,medium,married,-0.21,10,6,13
27,female,master,medium,divorced,-0.12,6,13,9
44,female,master,low,married,-0.81,6,8,13
54,male,bachelor,medium,married,-0.93,6,13,8
70,female,bachelor,medium,single,0.5,6,8,13
48,female,master,high,married,0.05,10,6,13
56,female,high school,high,married,0.29,10,6,13
45,female,PhD,high,married,-0.92,6,13,8
32,male,bachelor,high,married,-0.18,10,6,13
53,female,bachelor,low,single,-1.0,11,6,13
23,male,master,medium,single,-0.2,6,13,15
36,male,high school,medium,widowed,-0.35,6,13,14
21,female,master,medium,married,-0.45,6,13,8
30,male,bachelor,medium,married,0.38,6,13,9
39,male,master,medium,married,0.14,6,13,8
48,male,PhD,medium,single,0.36,6,8,13
22,male,bachelor,medium,single,-0.24,6,8,9
39,male,high school,medium,married,-0.43,6,13,8
24,female,bachelor,medium,single,-0.12,6,8,13
32,female,bachelor,medium,married,0.64,6,13,8
55,male,bachelor,medium,married,-0.11,6,10,13
31,female,bachelor,medium,single,0.25,6,8,13
53,male,high school,medium,married,0.02,10,6,13
28,male,master,medium,single,0.41,6,13,8
45,female,PhD,high,single,-0.96,6,8,14
60,male,master,high,divorced,0.6,6,9,13
38,female,high school,high,married,-0.13,6,13,8
78,female,bachelor,low,married,-0.24,6,13,8
39,male,bachelor,medium,married,-0.48,6,13,14
43,female,master,medium,single,0.15,6,11,13
67,female,bachelor,high,single,0.76,6,8,13
44,male,high school,medium,single,-0.74,6,10,13
41,female,bachelor,medium,married,0.1,10,6,13
33,male,bachelor,high,single,0.84,9,4,12
39,female,bachelor,medium,married,-0.41,6,10,13
58,female,bachelor,medium,single,-0.43,6,8,13
51,male,bachelor,medium,single,0.02,6,10,13
39,female,master,high,divorced,-0.2,6,8,13
43,female,bachelor,medium,married,0.18,6,13,8
36,female,bachelor,high,married,0.08,10,6,8
27,female,PhD,medium,single,-0.44,6,14,10
21,male,master,medium,married,-0.84,6,10,13
45,male,high school,high,divorced,0.24,6,10,13
19,male,bachelor,high,married,-0.54,6,13,14
31,male,bachelor,medium,divorced,-0.11,6,13,8
35,male,bachelor,high,married,0.46,6,10,13
35,male,master,medium,single,-0.6,6,8,13
30,female,high school,medium,married,-0.15,10,8,13
34,male,master,medium,divorced,-0.03,6,8,13
30,female,high school,medium,married,0.11,10,6,13
43,female,bachelor,low,single,-0.94,6,13,14
37,male,master,medium,single,0.69,2,6,10
26,male,master,medium,single,-0.79,6,8,9
39,male,master,medium,single,0.35,6,8,13
61,female,bachelor,low,married,-0.63,6,13,14
43,male,master,medium,married,0.19,11,6,13
40,male,bachelor,low,single,-0.87,6,8,16
23,other,bachelor,medium,married,0.02,13,6,8
40,male,bachelor,high,married,-0.77,6,10,13
25,female,PhD,high,single,-0.4,6,10,14
28,female,bachelor,low,single,-0.19,6,8,14
39,female,bachelor,medium,widowed,-0.28,6,13,8
33,male,high school,low,married,-0.53,10,13,8
37,male,bachelor,medium,married,0.44,6,13,14
34,male,bachelor,medium,married,-1.0,6,10,8
34,male,bachelor,medium,married,0.56,6,13,8
28,male,high school,medium,single,-0.2,10,6,13
28,female,bachelor,medium,divorced,-0.08,6,13,8
30,male,PhD,medium,married,0.2,6,10,13
36,female,master,medium,married,0.22,6,13,8
26,female,master,medium,single,0.27,6,9,13
21,female,high school,high,single,0.01,9,13,14
27,male,master,high,married,-0.46,6,8,13
57,male,bachelor,medium,married,0.72,6,13,8
38,male,bachelor,low,divorced,-0.78,7,6,13
34,male,bachelor,medium,married,0.7,6,13,14
28,male,high school,medium,single,-0.5,10,6,8
63,female,bachelor,medium,divorced,-0.28,6,13,8
21,male,bachelor,medium,single,-0.05,6,8,13
18,female,bachelor,medium,married,-0.69,6,8,13
60,male,master,medium,widowed,0.1,6,8,13
20,other,master,medium,single,-0.16,6,13,8
65,female,master,high,married,-0.99,6,13,8
22,male,bachelor,low,single,0.21,6,10,13
60,female,master,high,married,0.44,6,13,8
28,male,master,high,single,-0.14,6,8,4
37,female,bachelor,medium,divorced,-0.58,6,10,13
36,male,bachelor,medium,single,-0.49,6,4,8
33,male,bachelor,medium,married,-0.38,6,10,13
34,female,bachelor,medium,divorced,0.09,6,13,8
47,male,master,medium,divorced,-0.5,6,13,8
23,female,high school,medium,single,-0.38,10,6,13
19,female,bachelor,high,single,-0.33,6,13,8
40,female,bachelor,low,widowed,-0.03,6,13,8
57,female,bachelor,high,married,-0.19,6,13,8
30,male,bachelor,high,married,-0.03,6,13,8
23,female,master,medium,single,-0.28,6,13,4
50,male,bachelor,high,divorced,-0.75,6,10,13
56,female,bachelor,medium,divorced,-0.4,6,8,13
28,male,bachelor,medium,divorced,-0.38,6,13,8
19,female,bachelor,medium,single,0.11,6,13,8
33,female,bachelor,low,single,-0.32,13,14,6
34,male,bachelor,high,married,0.07,6,13,8
59,female,master,medium,married,0.54,6,13,8
23,female,bachelor,medium,single,-0.69,6,13,8
23,male,master,high,single,0.57,6,4,13
50,female,high school,medium,widowed,-0.6,10,6,13
37,male,bachelor,low,married,0.2,6,13,10
39,male,high school,medium,married,0.11,6,13,8
25,female,high school,medium,married,0.24,13,8,9
33,male,master,medium,single,-0.49,6,8,15
50,male,master,high,married,-0.65,6,10,13
23,male,bachelor,medium,single,-0.36,6,10,14
21,female,master,medium,single,-0.22,6,9,3
35,female,bachelor,high,single,-0.93,6,8,13
33,male,high school,medium,married,-0.19,6,10,13
37,female,bachelor,high,married,0.35,6,13,14
48,male,high school,low,married,0.37,13,8,6
29,male,high school,low,single,-0.77,3,11,8
63,male,master,medium,married,-0.27,6,13,8
53,female,master,medium,divorced,-0.47,6,13,8
65,female,master,high,widowed,0.35,6,13,8
24,male,master,medium,single,-0.15,6,13,4
38,male,high school,low,widowed,0.77,11,13,6
33,male,bachelor,medium,divorced,-0.55,6,10,8
24,male,bachelor,high,married,-0.12,10,6,13
24,female,bachelor,high,single,0.23,6,13,8
55,male,master,medium,married,-0.19,6,13,8
65,male,master,medium,married,-0.34,6,10,13
22,female,master,high,single,-0.29,6,8,13
32,female,master,medium,married,-0.16,6,8,13
47,female,bachelor,high,widowed,0.6,8,13,6
78,male,master,medium,divorced,-0.22,6,14,13
79,other,high school,high,married,0.62,6,8,13
