age,gender,education,income,marital_status,risk_preference,preference_1,preference_2,preference_3
22,female,high school,medium,single,-0.02,10,8,6
58,male,high school,medium,married,-0.69,13,10,6
42,male,high school,medium,married,-0.43,10,6,13
27,male,master,medium,single,-0.17,6,10,8
29,female,bachelor,medium,single,-0.32,6,10,9
36,male,bachelor,medium,single,-0.88,6,10,5
42,female,bachelor,high,single,-0.55,6,10,8
21,male,bachelor,low,single,-0.62,6,14,10
41,male,bachelor,medium,single,-0.02,6,10,14
38,female,bachelor,medium,married,0.62,13,10,6
49,male,PhD,medium,married,-0.77,6,10,13
38,female,bachelor,medium,married,-0.29,13,10,6
26,female,master,medium,single,-1.0,6,10,8
50,female,high school,high,widowed,-0.78,6,10,8
36,female,bachelor,medium,divorced,-0.42,6,13,10
50,male,bachelor,medium,divorced,0.6,6,10,1
65,male,bachelor,high,married,-0.97,10,8,6
26,male,master,medium,married,-0.14,10,13,6
56,female,bachelor,high,married,-0.11,6,10,13
41,male,high school,medium,married,-1.0,13,10,14
46,female,master,high,married,-1.0,6,10,13
24,male,bachelor,high,single,0.13,6,10,9
72,female,bachelor,high,married,0.05,1,6,10
51,female,master,medium,married,1.0,6,13,10
44,male,master,medium,married,0.32,13,10,6
34,female,bachelor,high,married,-0.83,13,6,10
40,female,master,high,married,-0.55,6,10,8
33,male,bachelor,medium,married,0.19,13,10,6
65,male,high school,high,single,0.33,5,10,6
41,male,bachelor,low,widowed,0.6,6,10,16
51,female,bachelor,high,single,-0.54,10,6,8
21,male,bachelor,medium,single,-0.18,6,13,10
34,male,bachelor,medium,single,0.01,6,10,1
31,female,bachelor,medium,divorced,-0.48,13,10,6
21,female,bachelor,medium,single,-0.58,9,10,13
26,male,bachelor,high,single,-0.56,6,1,5
18,male,PhD,medium,single,-0.66,6,1,10
21,male,master,medium,single,-0.07,6,2,10
44,female,bachelor,high,married,-0.32,10,6,13
21,male,bachelor,low,single,0.31,6,10,13
23,female,bachelor,medium,single,-0.19,6,14,10
35,male,bachelor,medium,married,-0.41,6,10,14
73,female,master,medium,widowed,-0.41,10,6,8
26,male,bachelor,medium,married,-1.0,10,6,13
23,female,high school,high,single,-0.86,10,1,6
26,male,bachelor,medium,married,0.62,6,13,10
44,male,bachelor,high,married,0.33,10,6,8
32,male,master,medium,divorced,-0.1,6,10,14
44,female,master,medium,single,-0.79,6,8,10
34,male,bachelor,medium,single,0.03,10,6,9
21,male,master,low,married,-0.15,6,10,12
42,male,bachelor,medium,divorced,-0.78,6,10,1
46,male,bachelor,medium,widowed,-0.24,6,10,8
42,male,PhD,medium,divorced,1.0,6,10,14
25,male,master,high,single,0.21,6,5,10
42,female,bachelor,medium,single,-0.65,10,6,14
44,female,master,medium,married,-0.49,6,10,13
18,male,bachelor,medium,married,-0.34,6,13,10
69,female,bachelor,medium,divorced,-0.66,10,6,13
62,female,bachelor,medium,widowed,-0.28,10,6,8
28,female,master,medium,married,-0.66,6,13,10
47,male,bachelor,medium,divorced,0.46,6,10,8
34,female,master,medium,married,-0.09,13,6,10
39,male,master,medium,divorced,0.22,6,8,10
61,female,bachelor,high,single,-1.0,1,6,10
29,male,bachelor,high,single,0.59,6,10,5
28,other,high school,low,married,0.09,13,10,6
22,female,master,medium,single,0.16,6,10,8
30,female,bachelor,high,single,-0.05,6,10,1
40,male,master,medium,married,-0.66,10,6,13
45,female,master,medium,married,0.87,13,10,8
23,female,master,low,single,0.1,6,10,13
35,female,master,high,married,-1.0,10,6,13
18,male,bachelor,low,single,-0.4,6,10,14
28,female,bachelor,medium,single,-0.73,6,10,8
19,male,bachelor,high,single,0.01,8,6,1
60,male,bachelor,high,single,-0.14,2,6,10
63,female,bachelor,medium,married,-0.83,10,13,6
76,male,bachelor,high,married,-0.39,10,13,6
48,other,master,low,married,-0.1,13,10,6
24,male,high school,low,single,-0.42,9,14,11
51,female,bachelor,medium,married,-0.83,13,10,15
50,female,bachelor,high,married,-0.16,6,13,10
57,female,bachelor,high,divorced,-0.05,6,10,8
51,male,bachelor,medium,married,1.0,6,10,13
31,female,bachelor,medium,married,-0.73,13,10,6
28,male,PhD,high,married,0.36,6,10,13
59,male,bachelor,medium,married,-0.49,10,6,13
49,female,bachelor,high,divorced,0.2,10,6,14
29,male,bachelor,medium,single,-1.0,6,10,8
36,female,high school,medium,married,0.08,13,10,6
23,female,bachelor,medium,single,-0.34,10,6,8
35,male,bachelor,high,married,-0.02,10,6,13
34,female,bachelor,low,divorced,0.01,6,13,10
45,female,master,medium,married,0.87,10,6,13
35,female,bachelor,high,single,-0.09,6,10,1
32,male,master,high,single,0.64,6,10,2
47,male,bachelor,medium,married,-0.43,10,6,13
38,female,bachelor,high,married,-0.71,10,13,6
42,male,bachelor,high,divorced,0.59,6,10,1
44,female,master,medium,widowed,0.14,6,10,13
27,male,high school,medium,married,0.04,13,10,6
45,female,bachelor,medium,married,0.27,6,10,13
60,other,master,high,married,-0.8,10,6,13
60,male,bachelor,medium,married,-0.04,10,6,13
36,female,master,high,married,-0.67,6,10,13
58,female,master,high,married,-0.4,6,10,13
35,male,bachelor,medium,married,0.03,13,10,6
19,male,bachelor,medium,married,0.63,9,13,6
44,male,bachelor,high,married,0.37,6,10,13
60,female,master,medium,married,-0.42,6,10,13
21,female,master,medium,single,0.98,9,6,10
